nohup: ignoring input
=== Stage 1: Energy-Only Training (v6.0) ===
Data: 2020-01-01 to 2023-12-31
Device: cuda
Total steps: 1000000
Max grad norm: 1.0
LR: actor=0.0003 critic=0.0003 ttfe=0.0003
τ_gumbel: 1.0 → 0.1
Enriched obs: TTFE=36-dim input, obs_dim=108, static_dim=32
Warming up for 1000 steps...
Step   16000/1000000 | ep=247 | critic=2.8904 | actor=-17.5233 | alpha=0.1509 | avg_reward=-30.6 | avg_raw_reward=-17.6 | avg_soc=4.52 | grad_c=10.248 [q1=8.1 q2=6.3] | grad_a=0.767 | grad_t=0.128 [proj=0.0 attn=0.1] | mode=[ch=20% dc=34% id=46%] | tau_g=0.986 | 23.7 steps/s | pct24h=0.35 z24h=-0.49 da_rt=0.0007
Step   17000/1000000 | ep=254 | critic=2.9635 | actor=-15.8939 | alpha=0.1487 | avg_reward=-35.3 | avg_raw_reward=-27.3 | avg_soc=6.55 | grad_c=14.821 [q1=11.0 q2=9.9] | grad_a=0.528 | grad_t=0.055 [proj=0.0 attn=0.1] | mode=[ch=19% dc=33% id=48%] | tau_g=0.985 | 23.6 steps/s | pct24h=0.38 z24h=-0.40 da_rt=-0.0006
Step   18000/1000000 | ep=263 | critic=3.1168 | actor=-15.9807 | alpha=0.1485 | avg_reward=-29.5 | avg_raw_reward=51.3 | avg_soc=7.66 | grad_c=8.909 [q1=4.7 q2=7.6] | grad_a=0.634 | grad_t=0.118 [proj=0.0 attn=0.1] | mode=[ch=27% dc=35% id=38%] | tau_g=0.984 | 23.6 steps/s | pct24h=0.48 z24h=-0.17 da_rt=0.0001
Step   19000/1000000 | ep=273 | critic=2.4525 | actor=-14.5531 | alpha=0.1468 | avg_reward=-26.3 | avg_raw_reward=25.8 | avg_soc=6.89 | grad_c=11.804 [q1=9.8 q2=6.7] | grad_a=0.409 | grad_t=0.032 [proj=0.0 attn=0.0] | mode=[ch=25% dc=47% id=28%] | tau_g=0.983 | 23.5 steps/s | pct24h=0.38 z24h=0.07 da_rt=0.0030
Step   20000/1000000 | ep=279 | critic=3.5325 | actor=-15.5590 | alpha=0.1456 | avg_reward=-14.9 | avg_raw_reward=301.8 | avg_soc=8.51 | grad_c=9.739 [q1=7.9 q2=5.7] | grad_a=0.872 | grad_t=0.077 [proj=0.0 attn=0.1] | mode=[ch=27% dc=31% id=42%] | tau_g=0.982 | 23.5 steps/s | pct24h=0.23 z24h=-0.17 da_rt=-0.0005
Step   21000/1000000 | ep=287 | critic=1.1576 | actor=-15.8080 | alpha=0.1455 | avg_reward=-38.0 | avg_raw_reward=-25.5 | avg_soc=8.01 | grad_c=7.088 [q1=5.5 q2=4.5] | grad_a=0.506 | grad_t=0.036 [proj=0.0 attn=0.0] | mode=[ch=30% dc=35% id=36%] | tau_g=0.981 | 23.5 steps/s | pct24h=0.36 z24h=-0.18 da_rt=-0.0002
Step   22000/1000000 | ep=297 | critic=1.1509 | actor=-19.1322 | alpha=0.1498 | avg_reward=-11.7 | avg_raw_reward=130.1 | avg_soc=9.30 | grad_c=11.433 [q1=5.9 q2=9.8] | grad_a=0.471 | grad_t=0.093 [proj=0.0 attn=0.1] | mode=[ch=33% dc=40% id=28%] | tau_g=0.980 | 23.4 steps/s | pct24h=0.52 z24h=-0.10 da_rt=0.0037
Step   23000/1000000 | ep=317 | critic=3.4788 | actor=-15.9675 | alpha=0.1555 | avg_reward=-46.5 | avg_raw_reward=-43.6 | avg_soc=14.17 | grad_c=20.275 [q1=17.7 q2=9.9] | grad_a=0.408 | grad_t=0.053 [proj=0.0 attn=0.1] | mode=[ch=48% dc=29% id=24%] | tau_g=0.979 | 23.4 steps/s | pct24h=0.56 z24h=-0.13 da_rt=0.0084
Step   24000/1000000 | ep=331 | critic=1.6218 | actor=-17.4015 | alpha=0.1577 | avg_reward=-36.3 | avg_raw_reward=-10.6 | avg_soc=10.86 | grad_c=11.929 [q1=5.6 q2=10.5] | grad_a=0.761 | grad_t=0.048 [proj=0.0 attn=0.0] | mode=[ch=41% dc=27% id=32%] | tau_g=0.978 | 23.4 steps/s | pct24h=0.64 z24h=0.00 da_rt=0.0007
Step   25000/1000000 | ep=339 | critic=1.4507 | actor=-17.3834 | alpha=0.1484 | avg_reward=-43.8 | avg_raw_reward=-35.8 | avg_soc=9.73 | grad_c=10.058 [q1=8.6 q2=5.2] | grad_a=0.530 | grad_t=0.054 [proj=0.0 attn=0.1] | mode=[ch=32% dc=25% id=43%] | tau_g=0.978 | 23.3 steps/s | pct24h=0.50 z24h=-0.15 da_rt=-0.0019
