nohup: ignoring input
=== Stage 1: Energy-Only Training ===
Data: 2020-01-01 to 2025-11-30
Device: cuda
Total steps: 750000
Max grad norm: 0.5
LR: actor=0.0003 critic=0.0001 ttfe=0.0003
τ_gumbel: 1.0 → 0.3
Warming up for 5000 steps...
Step    6000/750000 | ep=62 | critic=0.5767 | actor=-8.9897 | alpha=0.7657 | avg_reward=-40.9 | avg_raw_reward=-37.0 | avg_soc=5.71 | grad_c=0.635 [q1=0.6 q2=0.1] | grad_a=0.321 | grad_t=0.020 [proj=0.0 attn=0.0] | mode=[ch=28% dc=40% id=31%] | tau_g=0.994 | 116.6 steps/s
Step   22000/750000 | ep=676 | critic=4.2425 | actor=-13.8724 | alpha=0.1000 | avg_reward=-18.0 | avg_raw_reward=5.8 | avg_soc=9.98 | grad_c=3.625 [q1=1.7 q2=3.2] | grad_a=0.130 | grad_t=0.021 [proj=0.0 attn=0.0] | mode=[ch=20% dc=28% id=52%] | tau_g=0.979 | 31.9 steps/s
Step   23000/750000 | ep=680 | critic=1.0903 | actor=-13.9999 | alpha=0.1000 | avg_reward=-20.6 | avg_raw_reward=-1.7 | avg_soc=6.57 | grad_c=4.713 [q1=2.8 q2=3.8] | grad_a=0.208 | grad_t=0.037 [proj=0.0 attn=0.0] | mode=[ch=20% dc=31% id=50%] | tau_g=0.979 | 31.4 steps/s
Step   24000/750000 | ep=685 | critic=1.3352 | actor=-11.3009 | alpha=0.1000 | avg_reward=-16.3 | avg_raw_reward=3.2 | avg_soc=7.66 | grad_c=3.466 [q1=2.0 q2=2.8] | grad_a=0.360 | grad_t=0.079 [proj=0.0 attn=0.1] | mode=[ch=19% dc=27% id=54%] | tau_g=0.978 | 31.0 steps/s
Step   25000/750000 | ep=691 | critic=2.3334 | actor=-13.6440 | alpha=0.1000 | avg_reward=-28.5 | avg_raw_reward=-14.5 | avg_soc=5.99 | grad_c=4.933 [q1=2.5 q2=4.3] | grad_a=0.201 | grad_t=0.031 [proj=0.0 attn=0.0] | mode=[ch=17% dc=32% id=51%] | tau_g=0.977 | 30.5 steps/s
Step   26000/750000 | ep=697 | critic=3.4113 | actor=-10.1212 | alpha=0.1000 | avg_reward=-33.3 | avg_raw_reward=-22.5 | avg_soc=5.61 | grad_c=4.869 [q1=3.7 q2=3.2] | grad_a=0.189 | grad_t=0.039 [proj=0.0 attn=0.0] | mode=[ch=17% dc=34% id=49%] | tau_g=0.976 | 30.0 steps/s
Step   27000/750000 | ep=704 | critic=3.1360 | actor=-10.2395 | alpha=0.1000 | avg_reward=-32.8 | avg_raw_reward=-21.7 | avg_soc=5.31 | grad_c=4.518 [q1=2.1 q2=4.0] | grad_a=0.270 | grad_t=0.053 [proj=0.0 attn=0.1] | mode=[ch=20% dc=37% id=43%] | tau_g=0.975 | 29.7 steps/s
Step   28000/750000 | ep=711 | critic=2.1856 | actor=-11.4476 | alpha=0.1000 | avg_reward=-35.9 | avg_raw_reward=-26.4 | avg_soc=5.73 | grad_c=5.595 [q1=3.4 q2=4.4] | grad_a=0.564 | grad_t=0.121 [proj=0.0 attn=0.1] | mode=[ch=18% dc=38% id=44%] | tau_g=0.974 | 29.4 steps/s
Step   29000/750000 | ep=718 | critic=1.7610 | actor=-11.5049 | alpha=0.1000 | avg_reward=-34.5 | avg_raw_reward=-29.7 | avg_soc=4.50 | grad_c=6.660 [q1=5.2 q2=4.1] | grad_a=0.345 | grad_t=0.064 [proj=0.0 attn=0.1] | mode=[ch=20% dc=35% id=44%] | tau_g=0.973 | 29.1 steps/s
Step   30000/750000 | ep=724 | critic=2.2734 | actor=-10.1174 | alpha=0.1000 | avg_reward=-35.0 | avg_raw_reward=-30.4 | avg_soc=7.91 | grad_c=3.057 [q1=1.4 q2=2.7] | grad_a=0.257 | grad_t=0.038 [proj=0.0 attn=0.0] | mode=[ch=18% dc=32% id=50%] | tau_g=0.972 | 28.9 steps/s
  Checkpoint saved: checkpoints/stage1_v2/checkpoint_step30000.pt
Step   31000/750000 | ep=729 | critic=2.9383 | actor=-10.0293 | alpha=0.1000 | avg_reward=-31.2 | avg_raw_reward=-29.5 | avg_soc=6.68 | grad_c=9.588 [q1=5.1 q2=8.1] | grad_a=0.615 | grad_t=0.100 [proj=0.0 attn=0.1] | mode=[ch=27% dc=36% id=38%] | tau_g=0.971 | 28.7 steps/s
Step   32000/750000 | ep=734 | critic=3.3812 | actor=-11.1815 | alpha=0.1000 | avg_reward=-30.0 | avg_raw_reward=-30.0 | avg_soc=11.25 | grad_c=4.097 [q1=2.8 q2=3.0] | grad_a=0.383 | grad_t=0.082 [proj=0.0 attn=0.1] | mode=[ch=35% dc=29% id=36%] | tau_g=0.970 | 28.4 steps/s
Step   33000/750000 | ep=740 | critic=1.0278 | actor=-10.8248 | alpha=0.1000 | avg_reward=-25.0 | avg_raw_reward=-25.0 | avg_soc=12.97 | grad_c=2.389 [q1=2.0 q2=1.3] | grad_a=0.943 | grad_t=0.152 [proj=0.0 attn=0.2] | mode=[ch=40% dc=34% id=26%] | tau_g=0.969 | 28.1 steps/s
Step   34000/750000 | ep=746 | critic=2.1427 | actor=-11.8113 | alpha=0.1000 | avg_reward=-32.0 | avg_raw_reward=-28.7 | avg_soc=9.40 | grad_c=11.321 [q1=10.7 q2=3.7] | grad_a=0.548 | grad_t=0.099 [proj=0.0 attn=0.1] | mode=[ch=30% dc=32% id=38%] | tau_g=0.968 | 27.9 steps/s
Step   35000/750000 | ep=755 | critic=0.9003 | actor=-10.8406 | alpha=0.1000 | avg_reward=-38.5 | avg_raw_reward=-32.2 | avg_soc=6.07 | grad_c=2.077 [q1=1.0 q2=1.8] | grad_a=0.455 | grad_t=0.064 [proj=0.0 attn=0.1] | mode=[ch=24% dc=28% id=48%] | tau_g=0.967 | 27.6 steps/s
Step   36000/750000 | ep=763 | critic=4.8524 | actor=-10.7998 | alpha=0.1000 | avg_reward=-30.6 | avg_raw_reward=-19.7 | avg_soc=8.12 | grad_c=5.532 [q1=2.7 q2=4.8] | grad_a=0.901 | grad_t=0.144 [proj=0.0 attn=0.1] | mode=[ch=22% dc=34% id=44%] | tau_g=0.966 | 27.4 steps/s
