nohup: ignoring input
=== Stage 1: Energy-Only Training ===
Data: 2020-01-01 to 2025-11-30
Device: cuda
Total steps: 500000
Max grad norm: 0.5
LR: actor=0.0003 critic=0.0001 ttfe=0.0003
τ_gumbel: 1.0 → 0.3
Warming up for 5000 steps...
Step    6000/500000 | ep=50 | critic=0.7198 | actor=-8.9493 | alpha=0.7530 | avg_reward=-54.9 | avg_raw_reward=127.0 | avg_soc=6.10 | grad_c=0.437 [q1=0.3 q2=0.3] | grad_a=0.424 | grad_t=0.015 [proj=0.0 attn=0.0] | mode=[ch=30% dc=38% id=32%] | tau_g=0.992 | 105.8 steps/s
Step   22000/500000 | ep=393 | critic=3.9871 | actor=-10.0958 | alpha=0.1000 | avg_reward=-43.6 | avg_raw_reward=-1.8 | avg_soc=7.74 | grad_c=6.132 [q1=4.8 q2=3.9] | grad_a=0.212 | grad_t=0.028 [proj=0.0 attn=0.0] | mode=[ch=23% dc=34% id=43%] | tau_g=0.969 | 26.6 steps/s
Step   23000/500000 | ep=403 | critic=3.9616 | actor=-10.6521 | alpha=0.1000 | avg_reward=-31.0 | avg_raw_reward=578.8 | avg_soc=7.78 | grad_c=4.539 [q1=4.1 q2=2.0] | grad_a=0.175 | grad_t=0.028 [proj=0.0 attn=0.0] | mode=[ch=38% dc=38% id=24%] | tau_g=0.968 | 26.3 steps/s
Step   24000/500000 | ep=421 | critic=1.7118 | actor=-14.7602 | alpha=0.1000 | avg_reward=-22.2 | avg_raw_reward=1567.9 | avg_soc=8.80 | grad_c=5.410 [q1=3.7 q2=4.0] | grad_a=0.253 | grad_t=0.045 [proj=0.0 attn=0.0] | mode=[ch=31% dc=44% id=25%] | tau_g=0.966 | 26.0 steps/s
Step   25000/500000 | ep=434 | critic=4.0220 | actor=-11.9133 | alpha=0.1000 | avg_reward=-24.0 | avg_raw_reward=165.9 | avg_soc=11.31 | grad_c=3.776 [q1=3.4 q2=1.6] | grad_a=0.176 | grad_t=0.034 [proj=0.0 attn=0.0] | mode=[ch=51% dc=36% id=14%] | tau_g=0.965 | 25.8 steps/s
  Checkpoint saved: checkpoints/stage1_v2/checkpoint_step25000.pt
Step   26000/500000 | ep=452 | critic=0.9146 | actor=-12.5886 | alpha=0.1000 | avg_reward=-18.6 | avg_raw_reward=594.0 | avg_soc=11.90 | grad_c=1.932 [q1=1.4 q2=1.3] | grad_a=0.194 | grad_t=0.039 [proj=0.0 attn=0.0] | mode=[ch=64% dc=30% id=6%] | tau_g=0.964 | 25.5 steps/s
Step   27000/500000 | ep=471 | critic=1.8044 | actor=-12.9638 | alpha=0.1012 | avg_reward=-49.2 | avg_raw_reward=-48.9 | avg_soc=10.16 | grad_c=8.131 [q1=6.2 q2=5.3] | grad_a=0.404 | grad_t=0.052 [proj=0.0 attn=0.1] | mode=[ch=66% dc=25% id=9%] | tau_g=0.962 | 25.3 steps/s
Step   28000/500000 | ep=486 | critic=2.2914 | actor=-13.4119 | alpha=0.1000 | avg_reward=-35.6 | avg_raw_reward=114.3 | avg_soc=9.25 | grad_c=3.673 [q1=2.8 q2=2.3] | grad_a=0.310 | grad_t=0.041 [proj=0.0 attn=0.0] | mode=[ch=54% dc=29% id=18%] | tau_g=0.961 | 25.1 steps/s
Step   29000/500000 | ep=494 | critic=3.1493 | actor=-14.5345 | alpha=0.1036 | avg_reward=-16.5 | avg_raw_reward=383.2 | avg_soc=7.35 | grad_c=2.433 [q1=2.0 q2=1.4] | grad_a=0.489 | grad_t=0.096 [proj=0.0 attn=0.1] | mode=[ch=23% dc=35% id=42%] | tau_g=0.959 | 24.9 steps/s
Step   30000/500000 | ep=506 | critic=2.5490 | actor=-14.4581 | alpha=0.1118 | avg_reward=-29.7 | avg_raw_reward=87.9 | avg_soc=8.60 | grad_c=4.406 [q1=3.6 q2=2.6] | grad_a=0.369 | grad_t=0.053 [proj=0.0 attn=0.1] | mode=[ch=30% dc=41% id=29%] | tau_g=0.958 | 24.8 steps/s
Step   31000/500000 | ep=516 | critic=0.5971 | actor=-14.6568 | alpha=0.1028 | avg_reward=-33.7 | avg_raw_reward=104.5 | avg_soc=6.82 | grad_c=4.272 [q1=3.9 q2=1.7] | grad_a=0.270 | grad_t=0.044 [proj=0.0 attn=0.0] | mode=[ch=29% dc=42% id=29%] | tau_g=0.957 | 24.6 steps/s
Step   32000/500000 | ep=525 | critic=1.7451 | actor=-15.2800 | alpha=0.1000 | avg_reward=-36.9 | avg_raw_reward=9.5 | avg_soc=5.46 | grad_c=8.501 [q1=4.8 q2=7.0] | grad_a=0.225 | grad_t=0.035 [proj=0.0 attn=0.0] | mode=[ch=25% dc=41% id=34%] | tau_g=0.955 | 24.5 steps/s
Step   33000/500000 | ep=532 | critic=1.0992 | actor=-15.9613 | alpha=0.1000 | avg_reward=-32.9 | avg_raw_reward=-20.6 | avg_soc=6.92 | grad_c=3.906 [q1=2.9 q2=2.6] | grad_a=0.489 | grad_t=0.052 [proj=0.0 attn=0.1] | mode=[ch=23% dc=34% id=42%] | tau_g=0.954 | 24.3 steps/s
